1,個人簡介名片,,2,衡新計量科技,,3,衡新廠務儀器,,4,衡新機器人,,5,平面式重檢機,,6,滑梯式重檢機,,7,多段式分級機,,8,標籤機,,9,真空機,,10,秤
,,,,,,,,,(圖片),,,(圖片),,,(圖片),,,(圖片),,,(圖片),,,(圖片),,,(圖片),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*衡新計量科技&衡新廠務儀器 創辦人
 *中華中小企業經營領袖協會 2003學長
 *發明專利1677666滑梯秤模組 發明人
 *新型專利M514414車柱警示裝置 創作人
 *新型專利M514420車柱即時影像裝置 創作人
 *國立宜蘭大學高階經營管理碩士班EMBA
 *宜蘭縣榮譽指導員協進會 副會長
 *宜蘭縣科學園區廠商發展協進會 監事",,,"*生產線動態重量過磅設備-檢查機、分選 機、雙檢機
(重檢+金檢)
 *綠能模組專利技術，可減少用電量及損耗品更換，達
到製程碳減量任務
 *新品牌高階機種平價化，售價低於國外知名品牌，規
格功能甚優一應俱全
 *工研院重量檢查設備採購供應商",,,"*新型專利M563968三維度量尺 創作人
 *宜蘭縣社會福利聯合勸募基金會合作企業",,,(內容),,,*通過宜蘭縣地方型SBIR計畫,,,*通過行政院國家發展基金創業天使計畫,,,*通過科技部新興科技應用計畫,,,(內容),,,(內容),,,(內容),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(按鈕一) 加LINE好友,,,(按鈕一) 公司官網,,,(按鈕一) 粉絲專頁,,,(按鈕一)找(機器人的名字)聊聊,,,,,,,,,,,,,,,,,,,
(按鈕二) 行動電話,,,(按鈕二) 設備整合諮詢,,,(按鈕二) 訂購專線,,,(按鈕二) 重量冷知識,,,,,,,,,,,,,,,,,,,
(按鈕三) 分享給朋友,,,(按鈕三) 工廠地圖,,,(按鈕三) 門市位置,,,(按鈕三) 標檢局New報,,,(按鈕一) 線上型錄,,,(按鈕一) 線上型錄,,,(按鈕一) 線上型錄,,,(按鈕一),標籤貼紙規格,,(按鈕一),真空袋規格,,(按鈕一),磅秤實用知識分享
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
按鈕顏色 #066692,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(按鈕一) 加LINE好友,,,(按鈕一) 公司官網,,,(按鈕一) 粉絲專頁,,,(按鈕一)找(機器人的名字)聊聊,,,,,,,,,,,,,,,,,,,
LINE ID:hengsin,,,http://heng-sin.com/,,,https://www.facebook.com/HS886,,,衡新機器人 LINE BOT,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(按鈕二) 行動電話,,,(按鈕二) 設備整合諮詢,,,(按鈕二) 訂購專線,,,(按鈕二) 重量冷知識,,,,,,,,,,,,,,,,,,,
0925-081215,,,0925-081215,,,03-9383392,,,(先在FB PO文),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(按鈕三) 工廠地圖,,,(按鈕三) 門市位置,,,(按鈕三) 標檢局New報,,,,,,,,,,,,,,,,,,,
,,,google地圖 宜蘭市宜科南路15號3樓之1,,,google地圖 宜蘭市東港路二段439號,,,https://www.bsmi.gov.tw/wSite/lp?ctNode=8946&CtUnit=963&BaseDSD=7&mp=1,,,,,,,,,,,,,,,,,,,
